actor_episodes,actor_steps,delta_dist,delta_dist_10,delta_dist_100,delta_dist_1000,episode_length,episode_return,final_dist,final_dist_10,final_dist_100,final_dist_1000,init_dist,init_dist_10,init_dist_100,init_dist_1000,min_dist,min_dist_10,min_dist_100,min_dist_1000,steps_per_second,success,success_1000
4,600,0.08635795,0.05196028,0.05196028,0.05196028,150,0.0,0.62725675,0.6332427,0.6332427,0.6332427,0.7136147,0.685203,0.685203,0.685203,0.5184825,0.55635864,0.55635864,0.55635864,41.78555581155369,0.0,0.0
43,6450,0.24104622,0.09600161,0.09495089,0.09495089,150,0.0,0.4162852,0.58712345,0.5872096,0.5872096,0.6573314,0.683125,0.6821605,0.6821605,0.2915336,0.4005824,0.42999938,0.42999938,157.66594133728418,0.0,0.0
81,12150,0.30902666,0.08865168,0.09880213,0.09880213,150,0.0,0.37466794,0.58764833,0.58199865,0.58199865,0.6836946,0.6763,0.6808008,0.6808008,0.2898627,0.4522106,0.4108345,0.4108345,39.20540253789067,0.0,0.0
102,15300,0.20563903,0.32140937,0.13616395,0.13209978,150,0.0,0.4633412,0.36240327,0.545659,0.5497385,0.66898024,0.6838127,0.6818229,0.6818383,0.28857034,0.28015134,0.3807156,0.3886126,80.90237869959141,0.0,0.0
110,16500,-0.1303159,0.2310309,0.14652736,0.13568969,150,0.0,0.8376299,0.45508653,0.53510594,0.5464766,0.707314,0.6861175,0.6816333,0.6821662,0.707314,0.34868607,0.3761599,0.38794026,16.754580784754207,0.0,0.0
118,17700,-0.028205872,-0.09707939,0.13341542,0.12077565,150,0.0,0.69508976,0.77078664,0.5473981,0.56069547,0.6668839,0.6737073,0.6808136,0.6814711,0.45780084,0.558378,0.38254315,0.4002484,16.91112687086781,0.0,0.0
126,18900,0.18468583,0.13779679,0.13640137,0.12346125,150,0.0,0.5204068,0.5438958,0.5452168,0.5582692,0.7050926,0.68169254,0.6816182,0.6817304,0.38841695,0.3738234,0.37931865,0.39748892,19.78492318873996,0.0,0.0
134,20100,0.05077052,0.13213697,0.13200684,0.12218478,150,0.0,0.6086958,0.55971134,0.55055463,0.56002945,0.6594663,0.69184834,0.6825614,0.6822142,0.31656602,0.3634557,0.37832806,0.39525342,30.91667412786752,0.0,0.0
142,21300,0.113512814,0.14461903,0.13465656,0.124264,150,0.0,0.5415032,0.53272086,0.5471852,0.5575954,0.655016,0.6773399,0.68184173,0.6818594,0.26963887,0.31567496,0.37417307,0.39042783,16.998147954870607,0.0,0.0
146,21900,0.24523881,0.16669896,0.1385562,0.12477854,150,0.0,0.42560747,0.51402104,0.5435171,0.55715525,0.6708463,0.68072,0.68207335,0.68193376,0.27593496,0.30778816,0.36973226,0.38834277,10.663577826145431,0.0,0.0
