actor_episodes,actor_steps,delta_dist,episode_length,episode_return,evaluator_episodes,evaluator_steps,final_dist,init_dist,min_dist,steps_per_second,success,success_1000
4,600,0.063795686,150,0.0,1,150,0.6016252,0.6654209,0.5153307,41.857647608369085,0.0,nan
12,1800,0.25206497,150,0.0,3,450,0.45614496,0.70820993,0.36593702,140.42930172790741,0.0,0.0
17,2550,-0.09281498,150,0.0,5,750,0.7648445,0.6720295,0.49001727,157.2095245424987,0.0,0.0
23,3450,0.20625931,150,0.0,7,1050,0.45351207,0.6597714,0.45351207,167.953460161796,0.0,0.0
30,4500,0.07470977,150,0.0,9,1350,0.5870685,0.6617783,0.25849915,160.80641216059232,0.0,0.0
39,5850,0.10995847,150,0.0,11,1650,0.6006614,0.71061987,0.36111817,156.48087557277026,0.0,0.0
45,6750,0.2950361,150,0.0,12,1800,0.38239977,0.6774359,0.349562,145.8743911037678,0.0,0.0
51,7650,0.3370146,150,0.0,14,2100,0.3197892,0.6568038,0.2906132,154.53433663249604,0.0,0.0
61,9150,0.26258394,150,0.0,16,2400,0.40438113,0.66696507,0.33997482,160.3960380894497,0.0,0.0
66,9900,0.1978868,150,0.0,17,2550,0.4837685,0.6816553,0.25659934,114.27141225850312,0.0,0.0
71,10650,0.007756293,150,0.0,18,2700,0.6866286,0.6943849,0.36531004,130.01763821509942,0.0,0.0
76,11400,0.2642653,150,0.0,19,2850,0.43717295,0.70143825,0.43570748,61.783174158180564,0.0,0.0
80,12000,0.30467165,150,0.0,20,3000,0.35037547,0.6550471,0.33349973,109.17170174738413,0.0,0.0
82,12300,0.21582216,150,0.0,21,3150,0.48218995,0.6980121,0.3711626,39.388597542632674,0.0,0.0
84,12600,0.28819785,150,0.0,22,3300,0.38942096,0.6776188,0.3457735,71.15878161379496,0.0,0.0
88,13200,0.16431308,150,0.0,23,3450,0.5514224,0.7157355,0.33989215,67.92070295585323,0.0,0.0
92,13800,0.21673688,150,0.0,24,3600,0.44694647,0.66368335,0.25154254,72.020624497532,0.0,0.0
96,14400,0.28598395,150,0.0,25,3750,0.36946073,0.6554447,0.24160758,81.3033122592399,0.0,0.0
100,15000,0.3242184,150,0.0,26,3900,0.33578694,0.66000533,0.23649043,83.2301157146807,0.0,0.0
104,15600,0.2351388,150,0.0,27,4050,0.43389037,0.6690292,0.29329512,76.27926736473323,0.0,0.0
108,16200,-0.115410864,150,0.0,28,4200,0.77457166,0.6591608,0.38938978,80.19411406903816,0.0,0.0
108,16200,-0.13983774,150,0.0,30,4500,0.7949585,0.65512073,0.642953,361.3754361780037,0.0,0.0
109,16350,-0.19351083,150,0.0,33,4950,0.85174745,0.6582366,0.6100205,177.56268219599568,0.0,0.0
109,16350,-0.22472203,150,0.0,36,5400,0.90512013,0.6803981,0.6803981,387.46170928990824,0.0,0.0
109,16350,-0.21394444,150,0.0,39,5850,0.9170258,0.70308137,0.70308137,408.7643749106644,0.0,0.0
109,16350,-0.25295377,150,0.0,42,6300,0.9664139,0.71346015,0.710513,397.12194250575817,0.0,0.0
109,16350,-0.20417887,150,0.0,45,6750,0.8645172,0.66033834,0.66033834,427.94042325688645,0.0,0.0
111,16650,-0.21969306,150,0.0,46,6900,0.9018198,0.68212676,0.68212676,132.89119743589907,0.0,0.0
112,16800,-0.20910347,150,0.0,48,7200,0.92090017,0.7117967,0.70933,352.49372213338773,0.0,0.0
112,16800,-0.18156058,150,0.0,50,7500,0.8848438,0.70328325,0.6865217,337.47014965402565,0.0,0.0
113,16950,-0.15483814,150,0.0,52,7800,0.8700597,0.7152216,0.7075194,205.29244793255697,0.0,0.0
113,16950,0.006139219,150,0.0,54,8100,0.6490538,0.65519303,0.4488185,361.9117634369634,0.0,0.0
113,16950,0.1350503,150,0.0,57,8550,0.5210593,0.6561096,0.37198916,353.5348109054578,0.0,0.0
113,16950,-0.03989327,150,0.0,60,9000,0.7543502,0.7144569,0.7061851,381.2102593932343,0.0,0.0
114,17100,-0.03291899,150,0.0,63,9450,0.6968912,0.6639722,0.55410767,195.38986630227177,0.0,0.0
115,17250,-0.023814261,150,0.0,64,9600,0.7157019,0.6918876,0.68498456,136.46548558431562,0.0,0.0
116,17400,-0.031986,150,0.0,65,9750,0.7046237,0.6726377,0.5098469,147.10321660623737,0.0,0.0
117,17550,-0.0076702237,150,0.0,68,10200,0.68537104,0.6777008,0.4731744,240.3818321033013,0.0,0.0
117,17550,0.280034,150,0.0,70,10500,0.3872475,0.6672815,0.24978156,394.0550910595249,0.0,0.0
117,17550,0.2876978,150,0.0,73,10950,0.36817354,0.65587133,0.251027,370.0247018138189,0.0,0.0
117,17550,0.26189017,150,0.0,76,11400,0.4005546,0.6624448,0.2696928,379.03556868384607,0.0,0.0
118,17700,0.28619313,150,0.0,79,11850,0.37638432,0.66257745,0.28416044,246.0757651908797,0.0,0.0
119,17850,0.30585694,150,0.0,81,12150,0.37118644,0.6770434,0.2857198,180.12111988222978,0.0,0.0
120,18000,0.3147016,150,0.0,84,12600,0.37199572,0.6866973,0.3419932,166.25335798986222,0.0,0.0
121,18150,0.1752252,150,0.0,86,12900,0.48591214,0.66113734,0.3112543,208.69655212905806,0.0,0.0
121,18150,0.17792094,150,0.0,89,13350,0.5206066,0.6985275,0.37997547,410.2375240689796,0.0,0.0
121,18150,0.18126374,150,0.0,92,13800,0.5204879,0.70175165,0.38442892,417.3013286213737,0.0,0.0
121,18150,0.18856844,150,0.0,95,14250,0.49532405,0.6838925,0.35483807,389.46930528317586,0.0,0.0
123,18450,0.17791939,150,0.0,98,14700,0.48446774,0.66238713,0.31584033,157.45806865935586,0.0,0.0
123,18450,0.18229973,150,0.0,100,15000,0.53260607,0.7149058,0.39482075,394.32133198371685,0.0,0.0
124,18600,0.18441588,150,0.0,102,15300,0.49313176,0.67754763,0.34246394,282.0550915749602,0.0,0.0
125,18750,0.15574306,150,0.0,105,15750,0.5421576,0.69790065,0.37550664,163.64507485094578,0.0,0.0
125,18750,0.15784591,150,0.0,109,16350,0.5119142,0.6697601,0.32593235,663.4639355291825,0.0,0.0
125,18750,0.10473949,150,0.0,114,17100,0.5749052,0.6796447,0.34124458,651.7610569138538,0.0,0.0
