actor_episodes,actor_steps,delta_dist,delta_dist_10,delta_dist_100,delta_dist_1000,episode_length,episode_return,evaluator_episodes,evaluator_steps,final_dist,final_dist_10,final_dist_100,final_dist_1000,init_dist,init_dist_10,init_dist_100,init_dist_1000,min_dist,min_dist_10,min_dist_100,min_dist_1000,steps_per_second,success,success_1000
4,600,0.0,0.059015553,0.059015553,0.059015553,150,0.0,1,150,0.6799369,0.63077575,0.63077575,0.63077575,0.6799369,0.68979126,0.68979126,0.68979126,0.6799369,0.5690064,0.5690064,0.5690064,17.916003526898812,0.0,0.0
18,2700,0.08214158,0.11502342,0.075020514,0.075020514,150,0.0,4,600,0.59839803,0.57423353,0.61294305,0.61294305,0.6805396,0.68925697,0.6879635,0.6879635,0.39451966,0.4457491,0.49964103,0.49964103,48.61147458258473,0.0,0.0
36,5400,0.020976245,0.12612438,0.09974442,0.09974442,150,0.0,8,1200,0.6848609,0.56177515,0.58827233,0.58827233,0.70583713,0.6878995,0.6880168,0.6880168,0.48980787,0.4167843,0.4569378,0.4569378,45.77142283443601,0.0,0.0
47,7050,0.30645162,0.064807326,0.0912281,0.0912281,150,0.0,11,1650,0.38103908,0.61942166,0.59637934,0.59637934,0.6874907,0.6842291,0.6876074,0.6876074,0.38103908,0.40528053,0.44702506,0.44702506,44.33488955768107,0.0,0.0
62,9300,0.00020223856,0.11329367,0.092871904,0.092871904,150,0.0,15,2250,0.69982076,0.5678023,0.59372175,0.59372175,0.700023,0.681096,0.68659365,0.68659365,0.63624156,0.366512,0.43288487,0.43288487,44.28823490280841,0.0,0.0
74,11100,0.3431957,0.114805184,0.09270336,0.09270336,150,0.0,18,2700,0.3378065,0.57789683,0.59479827,0.59479827,0.6810022,0.692702,0.68750155,0.68750155,0.33456925,0.41092762,0.43290716,0.43290716,32.41279125928864,0.0,0.0
93,13950,0.11806482,0.3059076,0.119856864,0.119856864,150,0.0,23,3450,0.57578915,0.38273355,0.5677605,0.5677605,0.693854,0.6886412,0.6876174,0.6876174,0.33026734,0.31873056,0.41881415,0.41881415,102.65567009501855,0.0,0.0
113,16950,0.21538505,0.12040478,0.13934746,0.131154,150,0.0,49,7350,0.46832326,0.562461,0.5480037,0.5560763,0.6837083,0.68286574,0.68735105,0.6872302,0.31736502,0.34901217,0.3916167,0.40612003,21.67686868818074,0.0,0.0
121,18150,0.35486686,0.25819126,0.15767117,0.14267969,150,0.0,82,12300,0.34894127,0.42693338,0.5292951,0.54456294,0.7038081,0.6851246,0.6869662,0.68724257,0.34630382,0.31222755,0.38038856,0.4001617,23.099234365997308,0.0,0.0
129,19350,0.24419537,0.19946112,0.16213949,0.1450477,150,0.0,115,17250,0.43315622,0.48831195,0.52514946,0.54235524,0.6773516,0.6877731,0.6872889,0.68740296,0.30942824,0.31761038,0.37432498,0.39527428,21.323809230713334,0.0,0.0
