actor_episodes,actor_loss,actor_steps,binary_accuracy,categorical_accuracy,critic_loss,entropy_mean,evaluator_episodes,evaluator_steps,learner_steps,learner_walltime,logits_neg,logits_pos,logsumexp,steps_per_second
78,3.8049068,11700,0.9800117,0.0040893555,5.6092515,0.014816105,19,2850,1,0,-4.2163534,-4.212305,5.9654274,0.0
102,6.8679805,15300,0.9808905,0.16082764,3.6380534,-13.631775,26,3900,12,10.63032078742981,-11.56777,-3.520868,10.6016865,91.92091599216104
111,10.209351,16650,0.98573613,0.3277588,2.6224074,-13.331864,46,6900,27,21.123883962631226,-20.205599,-2.525043,10.252955,98.58591817861966
118,21.767511,17700,0.995157,0.39855957,1.9923208,-22.366852,67,10050,41,31.322511434555054,-47.155525,-1.9771669,3.2089908,98.6467106181877
123,32.052937,18450,0.9948213,0.43597412,1.7381063,-25.554451,94,14100,56,41.80253863334656,-71.78461,-1.7154633,3.069943,101.68344790150282
130,39.305073,19500,0.9949944,0.46533203,1.6274408,-25.689743,118,17700,70,51.98427081108093,-88.433586,-1.6071643,3.0902228,101.84984671422067
136,43.92583,20400,0.9948697,0.4800415,1.5578039,-26.62878,144,21600,85,62.64301586151123,-99.00112,-1.5255884,3.5219793,77.50920401285259
142,45.97556,21300,0.9948828,0.4755249,1.5165684,-26.789707,168,25200,99,72.64621710777283,-104.603745,-1.4843698,3.49305,99.43107158758298
148,51.97776,22200,0.9952049,0.49139404,1.4469779,-26.781336,194,29100,113,82.65738201141357,-117.39232,-1.4206226,2.821113,77.95671650416696
154,54.175545,23100,0.994365,0.5126953,1.3977513,-27.164654,215,32250,127,92.71919965744019,-124.80089,-1.3432757,5.2758646,100.7732522148229
160,58.548424,24000,0.99467945,0.524353,1.3870642,-27.68038,240,36000,141,102.73797655105591,-135.86705,-1.3578681,4.526111,77.69533961895527
166,63.38152,24900,0.99556756,0.53881836,1.3090053,-28.949978,264,39600,156,113.56304597854614,-144.56952,-1.2713158,2.3963563,77.12414801858205
173,62.048893,25950,0.9947088,0.5409546,1.3260714,-29.249413,292,43800,171,124.20082187652588,-144.88272,-1.290216,4.7843,97.21149797834758
179,68.62047,26850,0.9952829,0.54711914,1.2615846,-29.702282,317,47550,185,134.33096528053284,-157.9697,-1.2596214,3.552892,75.10806017923944
186,68.85127,27900,0.99541235,0.57092285,1.2084095,-29.883774,341,51150,199,144.52660536766052,-162.28891,-1.1725222,3.156765,64.43223615375956
191,67.307785,28650,0.9951539,0.57958984,1.1779356,-30.02295,363,54450,214,155.05859851837158,-159.78123,-1.1472816,4.399219,100.2567923035064
197,73.796906,29550,0.9957385,0.5772705,1.1504719,-29.848785,387,58050,228,165.36265587806702,-167.01585,-1.1329057,2.4263515,75.73889445977143
203,72.86517,30450,0.9956367,0.5866699,1.1398063,-28.825027,413,61950,243,175.90598702430725,-168.68642,-1.0939736,2.5797372,100.8845231486997
210,77.5508,31500,0.99556565,0.5895386,1.0932637,-29.93061,437,65550,257,186.20211148262024,-178.56912,-1.0452297,3.3503447,77.21059658880088
215,77.801704,32250,0.9959028,0.60284424,1.0960155,-31.058956,461,69150,272,196.72907710075378,-177.92258,-1.0727477,2.1205578,101.42909837134091
223,79.45526,33450,0.9956982,0.60546875,1.0576298,-31.301735,489,73350,286,207.16361021995544,-182.7829,-1.0365618,2.5871253,76.35829726420805
227,83.77257,34050,0.9952917,0.5991821,1.0753123,-31.21086,512,76800,301,217.70259261131287,-189.29828,-1.0509782,4.1878123,77.6517374595557
235,85.80476,35250,0.9957781,0.60583496,1.0500671,-32.90796,539,80850,315,227.950448513031,-194.65251,-1.0076102,2.8624144,75.32235223869206
239,91.2479,35850,0.9951844,0.6130371,1.0293486,-33.041943,565,84750,330,238.55699038505554,-209.94221,-0.9413235,5.4767804,76.30049898596842
247,89.76651,37050,0.9958072,0.6206665,1.0208544,-32.789223,592,88800,344,248.8410201072693,-204.05367,-1.0000032,2.924708,100.89225836883578
254,89.19873,38100,0.99535966,0.6104126,1.1353734,-33.580124,621,93150,359,259.7223937511444,-203.49902,-1.1158026,4.1745987,54.76337776863815
259,93.84607,38850,0.9952061,0.6189575,1.2040308,-34.11236,645,96750,374,270.24922943115234,-213.72588,-1.1710868,4.796223,100.43605941557227
267,91.57755,40050,0.9958103,0.62683105,1.0263126,-33.974533,673,100950,388,280.70979404449463,-210.66345,-1.0012766,2.7261057,62.08183404923845
271,92.743744,40650,0.995888,0.6227417,1.0286186,-34.022118,700,105000,403,291.03520226478577,-213.78958,-1.0004914,2.3681717,101.64960208907024
279,95.88928,41850,0.99573135,0.6365967,1.0016248,-33.483635,726,108900,417,301.6479413509369,-219.03094,-0.96178573,3.618866,79.21981036385245
283,98.175415,42450,0.9954598,0.6444702,1.01972,-34.3024,758,113700,432,312.0318076610565,-222.72127,-0.98300403,4.298105,100.77143634763056
291,98.1541,43650,0.9952948,0.642395,0.97172207,-34.021915,779,116850,446,322.55082511901855,-223.4436,-0.9088423,5.1398826,99.12898988567328
295,97.77394,44250,0.9954922,0.63934326,1.0741546,-34.57728,809,121350,461,333.12957644462585,-222.42288,-1.020288,4.235394,76.23432198612457
303,99.515785,45450,0.9955671,0.6558838,1.0894723,-33.913242,831,124650,475,343.4473948478699,-223.892,-1.0360067,4.116631,103.14970678842155
308,95.852455,46200,0.9961064,0.65649414,0.89924204,-33.857628,859,128850,490,354.13770484924316,-219.26378,-0.87551177,2.4354064,76.26291092083257
315,96.80585,47250,0.99621224,0.6665039,0.931945,-32.85812,881,132150,504,364.294997215271,-221.62439,-0.9212969,2.344553,99.67489482419953
321,96.53763,48150,0.9961345,0.6710205,0.9268879,-33.40104,910,136500,518,374.47136545181274,-225.18857,-0.91842127,2.182353,61.493944196347776
327,98.13742,49050,0.99573255,0.67510986,0.9523866,-33.270214,933,139950,532,384.59842586517334,-231.19554,-0.8992835,4.2246013,101.69226922616495
332,90.922615,49800,0.99616575,0.6906738,0.9237665,-33.493004,961,144150,547,395.55747175216675,-213.54233,-0.91990316,2.6680636,64.25597885864953
339,99.636116,50850,0.996073,0.67071533,0.9133947,-32.50456,989,148350,562,406.0646622180939,-231.11171,-0.8915565,2.6944604,101.82558413005249
346,103.03909,51900,0.9961779,0.6703491,0.95860475,-33.884583,1012,151800,576,416.5856261253357,-238.85907,-0.93929946,2.3324099,76.22711316300168
352,95.62786,52800,0.99600434,0.6703491,0.9371468,-34.139202,1042,156300,591,427.1115641593933,-222.28749,-0.9071066,3.2772593,75.4453911034539
359,93.64309,53850,0.99593925,0.6581421,0.9704335,-33.689117,1064,159600,605,437.42343735694885,-221.33334,-0.94910526,3.2520967,94.53850103718
364,90.34137,54600,0.9960849,0.67755127,0.97385985,-32.893326,1093,163950,620,448.0356693267822,-216.26965,-0.9558772,2.7866976,99.40540754722151
371,96.52846,55650,0.9960253,0.6842041,0.9318205,-33.81301,1115,167250,634,458.38657331466675,-228.39021,-0.9210564,3.0386415,98.40189739548012
376,100.913704,56400,0.995981,0.6798096,0.9354792,-34.208786,1143,171450,649,468.99784874916077,-234.42818,-0.9125788,3.3510249,100.18158536944918
383,95.7946,57450,0.99597955,0.68359375,0.87880707,-34.02661,1169,175350,663,479.37721705436707,-229.6586,-0.85567904,3.7282844,101.0089993001046
388,98.60631,58200,0.9959047,0.6859741,0.90084255,-34.312836,1193,178950,678,490.1373383998871,-231.0154,-0.8860155,3.4900599,76.86571780778377
395,98.82948,59250,0.9956758,0.68707275,0.97896016,-33.921124,1216,182400,692,500.24505853652954,-234.93384,-0.9173513,4.4428487,99.74163343623249
401,100.748024,60150,0.99624753,0.71136475,0.8084873,-33.95642,1243,186450,706,510.4818003177643,-237.50635,-0.778998,2.8629618,100.16622112765401
407,111.22957,61050,0.99613047,0.7043457,0.8107811,-33.539337,1265,189750,720,520.6698832511902,-254.56317,-0.7820926,2.9983401,100.06894898611559
413,106.89295,61950,0.99583817,0.689209,0.91879064,-34.001892,1289,193350,734,530.8813681602478,-249.22192,-0.86412,4.8172226,96.90013096394954
419,106.02458,62850,0.9963558,0.70617676,0.8899694,-33.266026,1313,196950,748,541.0222194194794,-251.16315,-0.8693408,2.7628932,99.84759110447202
425,107.51284,63750,0.9959476,0.6862793,0.93950427,-32.428955,1337,200550,762,551.2475974559784,-249.51779,-0.8807595,3.3691874,99.54825598471521
431,118.44612,64650,0.9962168,0.7102051,0.8558964,-32.80655,1363,204450,776,561.4906005859375,-272.07397,-0.8205998,3.053395,100.06309255508148
437,114.90785,65550,0.99602985,0.69970703,0.84547794,-32.79409,1387,208050,790,571.7029693126678,-265.75778,-0.80426645,3.662885,100.24462432650037
443,122.7418,66450,0.9958749,0.6992798,0.85143185,-32.641056,1411,211650,804,581.933336019516,-282.4121,-0.802245,4.575911,98.1613473096044
449,109.61206,67350,0.99565816,0.7008667,0.95913815,-34.02767,1432,214800,818,592.1567907333374,-259.83948,-0.93945944,5.679653,97.8455876885393
455,114.834175,68250,0.9963987,0.72631836,0.8007014,-32.220978,1459,218850,832,602.4683930873871,-265.2713,-0.7713703,2.8236475,77.0430003309197
460,115.788086,69000,0.996341,0.71899414,0.7964885,-32.31289,1483,222450,846,612.6192898750305,-271.31534,-0.75064564,2.7983308,75.48956446812197
467,120.54127,70050,0.9962225,0.7149048,0.81681734,-32.104744,1506,225900,860,622.810578584671,-282.69012,-0.79451233,3.4205618,98.75543966118556
472,119.1086,70800,0.9964125,0.7279053,0.8005821,-32.30965,1532,229800,874,632.974062204361,-279.64893,-0.7841841,2.766304,76.43387293151814
