delta_dist,episode_length,episode_return,evaluator_episodes,evaluator_steps,final_dist,init_dist,min_dist,steps_per_second,success,success_1000
-0.08237777427231964,150,0.0,1,150,0.167196725672055,0.08481895139973537,0.07317224421218707,40.79510385300666,0.0,nan
-0.09461930057237337,150,0.0,1,150,0.16175033831436977,0.0671310377419964,0.056109493826387594,24.922263701299936,0.0,nan
3,450,-0.13011903,150,0.0,2,300,0.22488946,0.094770424,0.09246706,44.09589878990027,0.0,nan
1,150,-0.08237776,150,0.0,2,300,0.16719674,0.084818974,0.07317225,36.48490332694309,0.0,nan
2,300,-0.08950019,150,0.0,2,300,0.19497257,0.105472386,0.100851744,35.04636803673124,0.0,nan
2,300,-0.08237776,150,0.0,2,300,0.16719674,0.084818974,0.07317225,14.341154132366986,0.0,nan
-0.2018542,150,0.0,2,300,0.2770138,0.07515961,0.072818786,21.444817121451763,0.0,nan
-0.21213719,150,0.0,3,450,0.28654715,0.07440997,0.073083304,135.42702269631997,0.0,0.0
-0.1880719,150,0.0,4,600,0.27564403,0.08757213,0.08252007,133.94067439382985,0.0,0.0
-0.09057416,150,0.0,5,750,0.23600009,0.14542593,0.11968554,129.27858285928457,0.0,0.0
-0.17034999,150,0.0,6,900,0.26313266,0.092782676,0.08549792,122.52176741052041,0.0,0.0
-0.120141536,150,0.0,7,1050,0.25712794,0.1369864,0.12681973,139.69378393284882,0.0,0.0
-0.2484991,150,0.0,8,1200,0.30924553,0.060746428,0.060562246,140.87622196954464,0.0,0.0
-0.21464318,150,0.0,9,1350,0.28914404,0.07450086,0.073483996,116.07139266166857,0.0,0.0
-0.15389866,150,0.0,10,1500,0.2574739,0.10357522,0.09434958,134.89876893157668,0.0,0.0
-0.12560007,150,0.0,11,1650,0.24782062,0.122220546,0.101987675,133.46318764039296,0.0,0.0
-0.08459036,150,0.0,12,1800,0.23429136,0.149701,0.12214349,120.36364749456672,0.0,0.0
-0.21208784,150,0.0,13,1950,0.30781516,0.09572733,0.095412165,113.86174917048561,0.0,0.0
-0.1565997,150,0.0,14,2100,0.26400626,0.107406564,0.10147052,108.34047543401499,0.0,0.0
-0.18583228,150,0.0,15,2250,0.2728465,0.08701421,0.08134019,88.85505614438812,0.0,0.0
-0.22633016,150,0.0,16,2400,0.31029764,0.083967485,0.08385994,116.24456927219656,0.0,0.0
-0.12912795,150,0.0,17,2550,0.2562468,0.12711886,0.117200695,122.49249785395692,0.0,0.0
-0.14132093,150,0.0,18,2700,0.25220057,0.110879645,0.09822753,54.2915662598618,0.0,0.0
-0.20837912,150,0.0,19,2850,0.2969774,0.08859829,0.08767224,27.75875363184898,0.0,0.0
