actor_episodes,actor_steps,delta_dist,delta_dist_10,delta_dist_100,delta_dist_1000,episode_length,episode_return,final_dist,final_dist_10,final_dist_100,final_dist_1000,init_dist,init_dist_10,init_dist_100,init_dist_1000,min_dist,min_dist_10,min_dist_100,min_dist_1000,steps_per_second,success,success_1000
4,600,0.08397168,0.061697908,0.061697908,0.061697908,150,0.0,0.58112454,0.66229403,0.66229403,0.66229403,0.6650962,0.72399193,0.72399193,0.72399193,0.48036745,0.64158154,0.64158154,0.64158154,16.956532004205755,0.0,0.0
17,2550,0.09683728,0.089681745,0.06508428,0.06508428,150,0.0,0.53986776,0.6132365,0.64033204,0.64033204,0.63670504,0.7029182,0.70541626,0.70541626,0.2026579,0.41769654,0.4876814,0.4876814,45.97337902424246,0.0,0.0
33,4950,0.27989617,0.098339364,0.09635797,0.09635797,150,0.0,0.41150466,0.61706054,0.6125246,0.6125246,0.6914008,0.71539986,0.70888263,0.70888263,0.3521856,0.47149506,0.4523578,0.4523578,49.444347429858325,0.0,0.0
47,7050,0.31416422,0.08557233,0.0890298,0.0890298,150,0.0,0.39057946,0.60153306,0.6126683,0.6126683,0.7047437,0.6871054,0.7016979,0.7016979,0.39027128,0.37696606,0.43541244,0.43541244,46.516264873442196,0.0,0.0
62,9300,0.02479142,0.16353357,0.09483165,0.09483165,150,0.0,0.75047773,0.53164107,0.60635865,0.60635865,0.77526915,0.6951747,0.7011903,0.7011903,0.49220917,0.36848882,0.42266828,0.42266828,47.87712565384904,0.0,0.0
74,11100,0.051226437,0.13281305,0.10396057,0.10396057,150,0.0,0.6832502,0.5899459,0.60090554,0.60090554,0.7344766,0.72275895,0.7048661,0.7048661,0.52316034,0.49504313,0.4337316,0.4337316,31.635670381715457,0.0,0.0
99,14850,0.024846554,0.15321569,0.12154705,0.12034361,150,0.0,0.66700613,0.557505,0.5843159,0.5854369,0.6918527,0.71072066,0.7058629,0.7057804,0.3245241,0.4481259,0.43171498,0.4343469,139.65117925774263,0.0,0.0
111,16650,0.079428315,0.14299281,0.13053218,0.12241199,150,0.0,0.59767103,0.54737055,0.5735669,0.58149856,0.67709935,0.6903634,0.70409906,0.70391047,0.36632457,0.35548234,0.4195288,0.42652598,18.760774139096153,0.0,0.0
119,17850,0.21146894,0.06850131,0.12692735,0.120830774,150,0.0,0.55066884,0.61558926,0.575923,0.58192563,0.7621378,0.68409055,0.70285034,0.7027564,0.55066884,0.39403173,0.4177729,0.42520788,25.528761293558258,0.0,0.0
127,19050,-0.17287463,0.03484542,0.12127924,0.11536747,150,0.0,0.8771588,0.67179835,0.5811074,0.58816683,0.7042842,0.70664376,0.7023867,0.70353436,0.7017925,0.5685442,0.4349543,0.43717778,25.568879544070548,0.0,0.0
135,20250,-0.13620555,-0.15670207,0.099364586,0.09799118,150,0.0,0.83053887,0.8600381,0.6021474,0.6052531,0.6943333,0.703336,0.701512,0.70324427,0.6943333,0.70132023,0.4538576,0.45238236,23.865833889979083,0.0,0.0
143,21450,-0.20308048,-0.16732763,0.0805646,0.08351738,150,0.0,0.8516401,0.87077093,0.62212515,0.6195689,0.64855963,0.70344335,0.7026898,0.70308626,0.64855963,0.6979472,0.47749618,0.46569103,23.195414372947415,0.0,0.0
151,22650,-0.27561045,-0.1583829,0.06346178,0.070955835,150,0.0,0.9761977,0.8652404,0.6403524,0.63254744,0.7005873,0.70685744,0.70381415,0.70350325,0.70001787,0.7051909,0.50372183,0.4784718,25.612668766338036,0.0,0.0
159,23850,-0.13383782,-0.14752503,0.039508108,0.060703155,150,0.0,0.8754898,0.8644908,0.6672547,0.6433949,0.74165195,0.7169658,0.70676285,0.70409805,0.73478967,0.7101859,0.5289409,0.48985475,23.59301013514654,0.0,0.0
167,25050,-0.16492736,-0.1292818,0.015468452,0.051118776,150,0.0,0.8636059,0.85993683,0.6912873,0.65379167,0.69867855,0.73065495,0.7067557,0.70491046,0.69867855,0.7205611,0.5512444,0.5004184,23.330521957654927,0.0,0.0
175,26250,-0.18294871,-0.1495425,-0.006417869,0.041574318,150,0.0,0.82708156,0.8632867,0.71078354,0.6631763,0.64413285,0.71374404,0.7043655,0.7047506,0.6417803,0.7041737,0.5663134,0.5091418,25.38799024051632,0.0,0.0
183,27450,-0.19104147,-0.14838254,-0.023565482,0.03383968,150,0.0,0.86893773,0.8412262,0.72754514,0.67052454,0.67789626,0.6928436,0.70397973,0.70436424,0.6776921,0.68675935,0.58294225,0.51699406,25.04012358122718,0.0,0.0
191,28650,-0.102226675,-0.16083142,-0.06255675,0.025590649,150,0.0,0.8251795,0.85793304,0.765538,0.67858475,0.72295284,0.69710153,0.70298135,0.7041754,0.7137385,0.6924089,0.610197,0.5243583,25.53255524002799,0.0,0.0
199,29850,-0.14771992,-0.15046997,-0.08392548,0.018717194,150,0.0,0.8571916,0.85158837,0.78630644,0.685372,0.7094717,0.70111835,0.7023809,0.7040891,0.6975475,0.69490874,0.62893635,0.53115755,23.04208818924215,0.0,0.0
207,31050,-0.15815556,-0.16150029,-0.11284154,0.011831147,150,0.0,0.82452273,0.8603137,0.81538236,0.69201237,0.6663672,0.69881344,0.7025408,0.7038434,0.65848076,0.6921398,0.65499556,0.5372294,23.189597246789685,0.0,0.0
215,32250,-0.15345609,-0.14998122,-0.12991385,0.0062045655,150,0.0,0.8717296,0.8464821,0.83430064,0.6974713,0.7182735,0.69650084,0.7043866,0.7036758,0.7163416,0.6889432,0.6816943,0.54291695,23.552935907189514,0.0,0.0
223,33450,-0.0824731,-0.17157182,-0.15228535,-0.00052616117,150,0.0,0.7443658,0.8694352,0.85569334,0.70383096,0.6618927,0.69786334,0.70340806,0.7033047,0.65586376,0.6945822,0.6976503,0.54815423,25.331016678929302,0.0,0.0
231,34650,-0.14333361,-0.13641317,-0.15326299,-0.0049156714,150,0.0,0.8952161,0.84521997,0.8571695,0.7085006,0.7518825,0.7088068,0.70390654,0.7035849,0.74889517,0.70393723,0.6980488,0.5535716,25.15146854781165,0.0,0.0
239,35850,-0.21694475,-0.23194166,-0.15948692,-0.012991976,150,0.0,0.9674739,0.94535816,0.8640587,0.71701133,0.75052917,0.7134165,0.7045718,0.7040193,0.75052917,0.71190643,0.69901603,0.55892974,25.234725905000047,0.0,0.0
247,37050,-0.30738133,-0.20044139,-0.16133119,-0.018221043,150,0.0,1.0796703,0.91065484,0.8670643,0.7224193,0.772289,0.7102135,0.7057331,0.70419824,0.7593377,0.7017417,0.69948685,0.5634366,23.594493052186067,0.0,0.0
255,38250,-0.34182388,-0.15634763,-0.15903202,-0.02266069,150,0.0,1.0276486,0.86996555,0.8654777,0.72724646,0.6858247,0.7136179,0.7064455,0.7045858,0.6858247,0.7091073,0.69998735,0.56803036,25.094925815585807,0.0,0.0
263,39450,-0.24747467,-0.22845916,-0.17074265,-0.029896855,150,0.0,0.96466494,0.94333094,0.87604696,0.7347341,0.71719027,0.7148718,0.7053042,0.70483726,0.71719027,0.71413666,0.69962454,0.5724033,25.06078822197254,0.0,0.0
271,40650,-0.25875294,-0.2967081,-0.18227352,-0.03758715,150,0.0,0.91170317,0.98985994,0.88585126,0.7419541,0.6529502,0.69315183,0.70357794,0.7043669,0.6529502,0.69315183,0.69846827,0.57581383,25.47809061241108,0.0,0.0
279,41850,-0.26902807,-0.26579937,-0.19144383,-0.04396815,150,0.0,0.9918419,0.96299756,0.8953574,0.7480852,0.72281384,0.6971983,0.7039135,0.70411706,0.72281384,0.6971983,0.6994032,0.57922375,23.310071017759682,0.0,0.0
287,43050,-0.24291152,-0.28419453,-0.20217241,-0.050562974,150,0.0,0.9004831,0.9811756,0.90570587,0.7546377,0.65757155,0.6969811,0.7035335,0.70407474,0.65757155,0.6969811,0.69934005,0.58263874,23.159446996465782,0.0,0.0
295,44250,-0.25004297,-0.27301908,-0.21239004,-0.056550898,150,0.0,0.960839,0.97985345,0.91582435,0.76065946,0.710796,0.70683444,0.7034342,0.7041086,0.710796,0.70683444,0.6999999,0.5859436,23.215420386731793,0.0,0.0
303,45450,-0.31503898,-0.2798255,-0.22051388,-0.061955962,150,0.0,0.95416903,0.9840914,0.925242,0.7662884,0.63913006,0.7042659,0.70472807,0.7043325,0.63913006,0.7042659,0.7017109,0.58926684,25.472076817341037,0.0,0.0
311,46650,-0.235681,-0.2557513,-0.230587,-0.06733456,150,0.0,0.9665984,0.9519593,0.93424433,0.7711919,0.7309174,0.69620806,0.7036573,0.7038574,0.7309174,0.69620806,0.70146066,0.5917328,23.47276185473238,0.0,0.0
319,47850,-0.28619695,-0.27261788,-0.23935509,-0.07259123,150,0.0,1.0062937,0.965417,0.94334394,0.7762065,0.7200967,0.69279903,0.7039888,0.7036153,0.7200967,0.69279903,0.7019387,0.5942851,23.458743438525115,0.0,0.0
327,49050,-0.2477051,-0.2825753,-0.25153527,-0.07784027,150,0.0,0.93627554,0.9686408,0.9542402,0.7811341,0.68857044,0.6860654,0.7027051,0.7032938,0.68857044,0.6860654,0.7012428,0.5966221,25.47264712920065,0.0,0.0
335,50250,-0.2690205,-0.2524943,-0.2538293,-0.08169597,150,0.0,0.9308707,0.93499553,0.9549031,0.78468245,0.6618502,0.68250126,0.70107377,0.7029866,0.6618502,0.68250126,0.6997578,0.5988471,23.279021157583184,0.0,0.0
343,51450,-0.11835873,-0.2608385,-0.25640857,-0.086016074,150,0.0,0.8978553,0.9626827,0.9566087,0.7889163,0.77949655,0.7018443,0.70020026,0.7029002,0.77949655,0.7018443,0.69892615,0.6011755,23.087238372311706,0.0,0.0
351,52650,-0.28464156,-0.2556315,-0.262231,-0.08978336,150,0.0,1.0105608,0.97358286,0.96278656,0.79311657,0.7259192,0.7179514,0.70055544,0.7033332,0.7259192,0.7179514,0.7003351,0.6039139,23.411093263094973,0.0,0.0
359,53850,-0.33327246,-0.26286644,-0.27016664,-0.093733095,150,0.0,1.0548637,0.97460574,0.97048813,0.7972184,0.72159123,0.71173924,0.70032144,0.7034853,0.72159123,0.71173924,0.70032144,0.60626924,25.304549614076272,0.0,0.0
367,55050,-0.35457432,-0.26187268,-0.26801205,-0.097351685,150,0.0,1.0683385,0.97720546,0.96956795,0.8011375,0.7137642,0.71533287,0.7015558,0.7037859,0.7137642,0.71533287,0.7015558,0.6086775,25.334263410451804,0.0,0.0
375,56250,-0.3380078,-0.26026466,-0.26718906,-0.10081631,150,0.0,1.0868239,0.98869526,0.97245383,0.80536294,0.74881613,0.7284306,0.70526475,0.70454663,0.74881613,0.7284306,0.70526475,0.61145645,23.38855310889261,0.0,0.0
383,57450,-0.26877755,-0.27905598,-0.26890063,-0.10466596,150,0.0,0.9857604,1.0092665,0.97600275,0.8097049,0.71698284,0.7302104,0.70710206,0.7050389,0.71698284,0.7302104,0.70710206,0.613883,23.203209312298757,0.0,0.0
391,58650,-0.24432462,-0.24345095,-0.26613483,-0.10721015,150,0.0,0.9897678,0.95023406,0.97314805,0.8122718,0.74544317,0.70678306,0.7070132,0.7050617,0.74544317,0.70678306,0.7070132,0.61576134,25.34485090262985,0.0,0.0
399,59850,-0.2861452,-0.27320832,-0.2654073,-0.110427305,150,0.0,0.96529967,0.9713542,0.9719784,0.81536365,0.67915446,0.69814587,0.7065711,0.70493627,0.67915446,0.69814587,0.7065711,0.6174176,25.35863789607001,0.0,0.0
407,61050,-0.26233268,-0.24324675,-0.2626735,-0.11320669,150,0.0,1.0052176,0.9575402,0.9709561,0.8182534,0.7428849,0.7142936,0.70828253,0.7050467,0.7428849,0.7142936,0.70828253,0.61923987,24.901981529222322,0.0,0.0
415,62250,-0.37062842,-0.25658283,-0.2620265,-0.11586749,150,0.0,1.0308874,0.9528316,0.9700353,0.8207915,0.66025895,0.6962489,0.7080087,0.704924,0.66025895,0.6962489,0.7080087,0.62076324,25.34870578671708,0.0,0.0
423,63450,-0.3162368,-0.2584168,-0.26093787,-0.11861989,150,0.0,1.0269216,0.9524285,0.96871436,0.8233882,0.71068484,0.69401175,0.7077765,0.70476836,0.71068484,0.69401175,0.7077765,0.6221919,25.140887256747778,0.0,0.0
431,64650,-0.20897418,-0.26388526,-0.26025757,-0.121488884,150,0.0,0.93517655,0.9746703,0.97159517,0.8264092,0.72620237,0.71078503,0.71133745,0.7049203,0.72620237,0.71078503,0.71133745,0.62386954,24.828420660279203,0.0,0.0
439,65850,-0.29464465,-0.26679215,-0.26199096,-0.12424056,150,0.0,0.97253144,0.98544264,0.9746173,0.82938826,0.6778868,0.71865046,0.7126263,0.7051476,0.6778868,0.71865046,0.7126263,0.6255672,25.252220938630593,0.0,0.0
